id,score,sym,name,ensemblgene,species,pr_value_norm,is_tf
3558,91.85582,IL2,interleukin 2,ENSG00000109471,human,IL2,False
16183,76.127144,Il2,interleukin 2,ENSMUSG00000027720,mouse,IL2,False
3702,12.199604,ITK,IL2 inducible T cell kinase,ENSG00000113263,human,IL2,False
16428,10.44979,Itk,IL2 inducible T cell kinase,ENSMUSG00000020395,mouse,IL2,False
50943,87.49329,FOXP3,forkhead box P3,ENSG00000049768,human,FOXP3,True
20371,75.31719,Foxp3,forkhead box P3,ENSMUSG00000039521,mouse,FOXP3,False
110437700,13.424755,FLICR,FOXP3 regulating long intergenic non-coding RNA,,human,FOXP3,False
78185,12.248107,Flicr,Foxp3 regulating long intergenic noncoding RNA,,mouse,FOXP3,False
ENSMUSG00000039545,11.810935,Flicr,Foxp3 regulating long intergenic noncoding RNA,ENSMUSG00000039545,mouse,FOXP3,False
920,89.6525,CD4,CD4 molecule,ENSG00000010610,human,CD4,False
12504,73.45713,Cd4,CD4 antigen,ENSMUSG00000023274,mouse,CD4,False
492885,10.078491,Cd4ts4,CD4 T cell subset 4,,mouse,CD4,False
492882,10.046553,Cd4ts1,CD4 T cell subset 1,,mouse,CD4,False
492886,10.046553,Cd4ts5,CD4 T cell subset 5,,mouse,CD4,False
492883,9.891692,Cd4ts2,CD4 T cell subset 2,,mouse,CD4,False
492887,9.891692,Cd4ts6,CD4 T cell subset 6,,mouse,CD4,False
492884,9.865035,Cd4ts3,CD4 T cell subset 3,,mouse,CD4,False
492888,9.295601,Cd4vts1,CD4 virgin T cell subset 1,,mouse,CD4,False
100036421,7.9320045,Pcd4ts3,p-glycoprotein positive CD4 T cell subset 3,,mouse,CD4,False
6962,18.249039,TRBV20OR9-2,T cell receptor beta variable 20/OR9-2 (non-functional),,human,TCR,False
328483,15.305646,Trav6-3,T cell receptor alpha variable 6-3,,mouse,TCR,False
445347,12.212577,TARP,TCR gamma alternate reading frame protein,ENSG00000211689,human,TCR,False
22637,10.509452,Zap70,zeta-chain (TCR) associated protein kinase,ENSMUSG00000026117,mouse,TCR,False
6304,87.58805,SATB1,SATB homeobox 1,ENSG00000182568,human,SATB1,True
20230,73.32126,Satb1,special AT-rich sequence binding protein 1,ENSMUSG00000023927,mouse,SATB1,False
ENSG00000228956,14.467408,SATB1-AS1,SATB1 antisense RNA 1,ENSG00000228956,human,SATB1,False
101927777,14.366843,SATB1-AS1,SATB1 antisense RNA 1,,human,SATB1,False
929,90.47281,CD14,CD14 molecule,ENSG00000170458,human,CD14,False
12475,73.39043,Cd14,CD14 antigen,ENSMUSG00000051439,mouse,CD14,False
4695,18.2755,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,ENSG00000131495,human,CD14,False
