id,score,sym,name,ensemblgene,species,pr_value_norm,is_tf
3558,91.829506,IL2,interleukin 2,ENSG00000109471,human,IL2,False
16183,75.850266,Il2,interleukin 2,ENSMUSG00000027720,mouse,IL2,False
3702,12.175253,ITK,IL2 inducible T cell kinase,ENSG00000113263,human,IL2,False
16428,10.497415,Itk,IL2 inducible T cell kinase,ENSMUSG00000020395,mouse,IL2,False
50943,89.72368,FOXP3,forkhead box P3,ENSG00000049768,human,FOXP3,True
50943,89.72368,FOXP3,forkhead box P3,ENSG00000049768,human,FOXP³,True
20371,74.99362,Foxp3,forkhead box P3,ENSMUSG00000039521,mouse,FOXP3,False
20371,74.99362,Foxp3,forkhead box P3,ENSMUSG00000039521,mouse,FOXP³,False
110437700,13.458895,FLICR,FOXP3 regulating long intergenic non-coding RNA,,human,FOXP3,False
110437700,13.458895,FLICR,FOXP3 regulating long intergenic non-coding RNA,,human,FOXP³,False
78185,12.257719,Flicr,Foxp3 regulating long intergenic noncoding RNA,,mouse,FOXP3,False
78185,12.257719,Flicr,Foxp3 regulating long intergenic noncoding RNA,,mouse,FOXP³,False
ENSMUSG00000039545,11.835447,Flicr,Foxp3 regulating long intergenic noncoding RNA,ENSMUSG00000039545,mouse,FOXP3,False
ENSMUSG00000039545,11.835447,Flicr,Foxp3 regulating long intergenic noncoding RNA,ENSMUSG00000039545,mouse,FOXP³,False
920,89.428314,CD4,CD4 molecule,ENSG00000010610,human,CD4,False
12504,73.416435,Cd4,CD4 antigen,ENSMUSG00000023274,mouse,CD4,False
492885,10.08602,Cd4ts4,CD4 T cell subset 4,,mouse,CD4,False
492882,10.02453,Cd4ts1,CD4 T cell subset 1,,mouse,CD4,False
492886,10.02453,Cd4ts5,CD4 T cell subset 5,,mouse,CD4,False
492883,9.877849,Cd4ts2,CD4 T cell subset 2,,mouse,CD4,False
492887,9.877849,Cd4ts6,CD4 T cell subset 6,,mouse,CD4,False
492884,9.859928,Cd4ts3,CD4 T cell subset 3,,mouse,CD4,False
492888,9.31444,Cd4vts1,CD4 virgin T cell subset 1,,mouse,CD4,False
100036421,7.9492736,Pcd4ts3,p-glycoprotein positive CD4 T cell subset 3,,mouse,CD4,False
6962,18.29033,TRBV20OR9-2,T cell receptor beta variable 20/OR9-2 (non-functional),,human,TCR,False
