doc_id,e1_end_chr,e1_start_chr,e1_text,e2_end_chr,e2_start_chr,e2_text,sent_abs_offset,sent_id,sent_len,sent_pos,type,value
PMC4224555,238,234,IL-12,208,206,Th2,3937,510800,70,24,secreted_cytokine,-1
PMC4224555,238,234,IL-12,208,206,Th2,3937,510800,70,24,inducing_cytokine,-1
PMC5818395,138,136,Tr1,348,339,effector T,422,516679,61,3,secreted_cytokine,-1
PMC5818395,138,136,Tr1,348,339,effector T,422,516679,61,3,inducing_cytokine,-1
PMC5634439,325,321,IL-23,55,52,Th17,18552,765061,88,154,secreted_cytokine,-1
PMC5634439,325,321,IL-23,55,52,Th17,18552,765061,88,154,inducing_cytokine,-1
PMC4224555,112,108,IL-17,292,289,Treg,728,510780,50,4,inducing_cytokine,-1
PMC4224555,112,108,IL-17,292,289,Treg,728,510780,50,4,secreted_cytokine,-1
PMC5940260,44,41,IL-4,77,75,Th2,1962,719794,29,15,secreted_cytokine,1
PMC5940260,44,41,IL-4,77,75,Th2,1962,719794,29,15,inducing_cytokine,-1
PMC4980454,31,27,OX40L,123,117,naive T,35809,719121,72,225,secreted_cytokine,-1
PMC4980454,31,27,OX40L,123,117,naive T,35809,719121,72,225,inducing_cytokine,-1
PMC5135771,17,14,IFNγ,262,259,Th17,3379,560615,45,20,secreted_cytokine,-1
PMC5135771,17,14,IFNγ,262,259,Th17,3379,560615,45,20,inducing_cytokine,-1
PMC2656239,513,493,tumor necrosis factor,475,474,Th,35713,69159,106,216,secreted_cytokine,-1
PMC2656239,513,493,tumor necrosis factor,475,474,Th,35713,69159,106,216,inducing_cytokine,-1
PMC5046048,175,172,IL-6,104,93,naive CD4+ T,18810,196661,44,104,secreted_cytokine,-1
PMC5046048,175,172,IL-6,104,93,naive CD4+ T,18810,196661,44,104,inducing_cytokine,-1
PMC6092783,4035,4031,IFN-α,4561,4559,Th2,36468,220838,904,223,secreted_cytokine,-1
PMC6092783,4035,4031,IFN-α,4561,4559,Th2,36468,220838,904,223,inducing_cytokine,-1
PMC4954931,49,46,IL-6,219,217,Th1,22129,359308,46,121,secreted_cytokine,-1
PMC4954931,49,46,IL-6,219,217,Th1,22129,359308,46,121,inducing_cytokine,-1
PMC6324878,37,34,TGFβ,7,4,Treg,52687,628585,9,416,inducing_cytokine,1
PMC6324878,37,34,TGFβ,7,4,Treg,52687,628585,9,416,secreted_cytokine,-1
PMC5638524,221,218,IFNγ,153,150,Th17,40273,722588,50,227,secreted_cytokine,1
PMC5638524,221,218,IFNγ,153,150,Th17,40273,722588,50,227,inducing_cytokine,-1
PMC3043090,57,53,IL23R,75,72,Th17,30654,791298,29,197,secreted_cytokine,-1
PMC3043090,57,53,IL23R,75,72,Th17,30654,791298,29,197,inducing_cytokine,-1
PMC3670267,599,595,IL-12,126,122,Tregs,13964,568842,109,46,secreted_cytokine,-1
PMC3670267,599,595,IL-12,126,122,Tregs,13964,568842,109,46,inducing_cytokine,-1
PMC4570275,125,123,Il9,239,235,iTreg,16676,573712,70,87,secreted_cytokine,-1
PMC4570275,125,123,Il9,239,235,iTreg,16676,573712,70,87,inducing_cytokine,-1
PMC5470613,15,11,IL-10,134,131,Th17,4039,336536,33,24,secreted_cytokine,-1
PMC5470613,15,11,IL-10,134,131,Th17,4039,336536,33,24,inducing_cytokine,-1
PMC4919350,106,93,interleukin 10,597,590,T helper,19528,733603,131,124,secreted_cytokine,-1
PMC4919350,106,93,interleukin 10,597,590,T helper,19528,733603,131,124,inducing_cytokine,-1
PMC3113707,136,132,TGF-β,47,44,Th17,648,759854,27,5,secreted_cytokine,-1
PMC3113707,136,132,TGF-β,47,44,Th17,648,759854,27,5,inducing_cytokine,-1
PMC5614937,1942,1938,IFN-γ,2595,2592,Treg,26728,501275,846,155,secreted_cytokine,-1
PMC5614937,1942,1938,IFN-γ,2595,2592,Treg,26728,501275,846,155,inducing_cytokine,-1
PMC6291424,31,28,TGFβ,90,88,Th1,42047,198942,33,247,secreted_cytokine,-1
PMC6291424,31,28,TGFβ,90,88,Th1,42047,198942,33,247,inducing_cytokine,-1
PMC4583575,1656,1652,IFN-γ,1403,1400,Treg,4670,504697,492,22,secreted_cytokine,-1
PMC4583575,1656,1652,IFN-γ,1403,1400,Treg,4670,504697,492,22,inducing_cytokine,-1
PMC2525581,406,402,IL-23,116,109,memory T,22386,402486,73,132,secreted_cytokine,-1
PMC2525581,406,402,IL-23,116,109,memory T,22386,402486,73,132,inducing_cytokine,-1
PMC6417281,196,193,IL-5,217,215,Th2,34654,504002,57,223,secreted_cytokine,1
PMC6417281,196,193,IL-5,217,215,Th2,34654,504002,57,223,inducing_cytokine,-1
PMC5622853,68,57,interferon-γ,115,113,Th2,758,583434,55,5,secreted_cytokine,-1
PMC5622853,68,57,interferon-γ,115,113,Th2,758,583434,55,5,inducing_cytokine,-1
PMC4570275,168,164,TGF-β,140,138,Th9,28231,573772,53,147,secreted_cytokine,-1
PMC4570275,168,164,TGF-β,140,138,Th9,28231,573772,53,147,inducing_cytokine,-1
PMC4652162,97,93,IL-21,243,240,Th17,17020,159231,43,131,secreted_cytokine,-1
PMC4652162,97,93,IL-21,243,240,Th17,17020,159231,43,131,inducing_cytokine,-1
PMC6441173,1107,1104,CCL3,2317,2313,Tregs,22539,521817,461,111,secreted_cytokine,-1
PMC6441173,1107,1104,CCL3,2317,2313,Tregs,22539,521817,461,111,inducing_cytokine,-1
PMC3444478,176,172,IFN-γ,427,424,Th17,22267,729721,87,136,secreted_cytokine,-1
PMC3444478,176,172,IFN-γ,427,424,Th17,22267,729721,87,136,inducing_cytokine,-1
PMC3685796,284,281,IL-2,63,60,Treg,22830,389217,63,117,secreted_cytokine,-1
PMC3685796,284,281,IL-2,63,60,Treg,22830,389217,63,117,inducing_cytokine,-1
PMC5529425,47,44,OX40,169,166,Treg,38556,373788,29,264,secreted_cytokine,-1
PMC5529425,47,44,OX40,169,166,Treg,38556,373788,29,264,inducing_cytokine,-1
PMC2675006,111,108,IL-6,169,166,Th17,3282,399745,48,18,secreted_cytokine,-1
PMC2675006,111,108,IL-6,169,166,Th17,3282,399745,48,18,inducing_cytokine,-1
PMC4651022,167,155,interleukin-2,2,0,Th1,9471,274777,49,44,secreted_cytokine,-1
PMC4651022,167,155,interleukin-2,2,0,Th1,9471,274777,49,44,inducing_cytokine,-1
PMC6459942,207,204,IL-2,1060,1058,Th1,13741,708497,987,84,secreted_cytokine,-1
PMC6459942,207,204,IL-2,1060,1058,Th1,13741,708497,987,84,inducing_cytokine,-1
PMC3577939,178,174,IL-17,168,165,Th17,13717,606083,46,72,secreted_cytokine,-1
PMC3577939,178,174,IL-17,168,165,Th17,13717,606083,46,72,inducing_cytokine,-1
PMC4473539,67,64,Ifng,154,152,Th2,24058,723812,45,136,secreted_cytokine,-1
PMC4473539,67,64,Ifng,154,152,Th2,24058,723812,45,136,inducing_cytokine,-1
PMC5553898,91,88,IL-4,34,32,Th2,12608,345452,129,75,secreted_cytokine,1
PMC5553898,91,88,IL-4,34,32,Th2,12608,345452,129,75,inducing_cytokine,-1
PMC5356264,152,148,IFN-γ,166,164,Th1,24206,38102,38,148,secreted_cytokine,1
PMC5356264,152,148,IFN-γ,166,164,Th1,24206,38102,38,148,inducing_cytokine,-1
PMC4812460,11,7,IL-21,153,151,TFH,15438,384245,38,97,secreted_cytokine,-1
PMC4812460,11,7,IL-21,153,151,TFH,15438,384245,38,97,inducing_cytokine,-1
PMC5614937,2295,2291,IFN-γ,4796,4794,NKT,26728,501275,846,155,secreted_cytokine,-1
PMC5614937,2295,2291,IFN-γ,4796,4794,NKT,26728,501275,846,155,inducing_cytokine,-1
PMC2212851,194,190,IL-13,96,94,Th2,18142,444058,35,109,secreted_cytokine,1
PMC2212851,194,190,IL-13,96,94,Th2,18142,444058,35,109,inducing_cytokine,-1
PMC5529425,42,39,OX40,134,130,Tregs,15952,373633,33,109,secreted_cytokine,-1
PMC5529425,42,39,OX40,134,130,Tregs,15952,373633,33,109,inducing_cytokine,-1
PMC4364365,82,78,IL-17,60,57,Th17,41909,720453,22,284,secreted_cytokine,-1
PMC4364365,82,78,IL-17,60,57,Th17,41909,720453,22,284,inducing_cytokine,-1
PMC6207597,53,50,CCR7,198,196,Trm,22140,76588,56,136,secreted_cytokine,-1
PMC6207597,53,50,CCR7,198,196,Trm,22140,76588,56,136,inducing_cytokine,-1
PMC5222918,66,63,IL-9,98,96,TH9,4618,324273,22,31,secreted_cytokine,1
PMC5222918,66,63,IL-9,98,96,TH9,4618,324273,22,31,inducing_cytokine,-1
PMC5917822,5,0,CX3CR1,178,176,TCM,27131,367482,129,137,secreted_cytokine,-1
PMC5917822,5,0,CX3CR1,178,176,TCM,27131,367482,129,137,inducing_cytokine,-1
PMC4493106,26,23,IFNγ,52,50,Th1,24129,584435,23,212,inducing_cytokine,1
PMC4493106,26,23,IFNγ,52,50,Th1,24129,584435,23,212,secreted_cytokine,-1
PMC6028517,86,82,IL-10,167,164,Th17,14608,753899,45,124,secreted_cytokine,-1
PMC6028517,86,82,IL-10,167,164,Th17,14608,753899,45,124,inducing_cytokine,-1
PMC5529425,129,124,GM-CSF,84,80,Tregs,7063,373565,33,41,secreted_cytokine,-1
PMC5529425,129,124,GM-CSF,84,80,Tregs,7063,373565,33,41,inducing_cytokine,-1
PMC4436336,38,35,CD40,135,132,Th17,40661,723317,35,271,secreted_cytokine,-1
PMC4436336,38,35,CD40,135,132,Th17,40661,723317,35,271,inducing_cytokine,-1
PMC2531181,45,41,OX40L,71,69,Th2,16538,208072,40,93,secreted_cytokine,-1
PMC2531181,45,41,OX40L,71,69,Th2,16538,208072,40,93,inducing_cytokine,-1
PMC3313858,29,25,IL-10,50,48,Th2,26114,735044,24,182,secreted_cytokine,-1
PMC3313858,29,25,IL-10,50,48,Th2,26114,735044,24,182,inducing_cytokine,-1
PMC3098248,226,223,IL-2,194,190,Tregs,34988,325539,62,195,secreted_cytokine,-1
PMC3098248,226,223,IL-2,194,190,Tregs,34988,325539,62,195,inducing_cytokine,-1
PMC5214994,974,971,IL-2,1230,1227,CTLs,16298,566170,271,60,secreted_cytokine,-1
PMC5214994,974,971,IL-2,1230,1227,CTLs,16298,566170,271,60,inducing_cytokine,-1
