name	synonym	amino	chromosome_acids	mwt	receptor_form	receptor_location
IL-1α	hematopoietin-1	271	2q14	30606	CD121a, CDw121b	2q12, 2q12-q22
IL-1β	catabolin	269	2q14	20747	CD121a, CDw121b	2q12,2q12-q22
IL-1RA	IL-1 receptor antagonist	177	2q14.2	20055	CD121a	2q12
IL-18	interferon-γ inducing factor	193	11q22.2-q22.3	22326	IL-18Rα, β	2q12
IL-2	T cell growth factor	153	4q26-q27	17628	CD25, 122,132	10p15-p14, 22q13.1, Xq13.1
IL-4	BSF-1	153	5q31.1	17492	CD124,213a13, 132	16p11.2-12.1, X, Xq13.1
IL-7	 	177	8q12-q13	20186	CD127, 132	5p13, Xq13.1
IL-9	T cell growth factor P40	144	5q31.1	15909	IL-9R, CD132	Xq28 or Yq12, Xq13.1
IL-13	P600	132	5q31.1	14319	CD213a1, 213a2,	X, Xq13.1-q28,
IL-15	 	162	4q31	18086	IL-15Ra, CD122, 132	10p14-p14, 22q13.1, Xq13.1
IL-3	multipotential CSF, MCGF	152	5q31.1	17233	CD123, CDw131	Xp22.3 or Yp11.3, 22q13.1
IL-5	BCDF-1	134	5q31.1	15238, homodimer	CDw125, 131	3p26-p24, 22q13.1
GM-CSF	CSF-2	144	5q31.1	16295	CD116, CDw131	Xp22.32 or Yp11.2, 22q13.1
IL-6	IFN-β2, BSF-2	212	7p21	23718	CD126, 130	1q21, 5q11
IL-11	AGIF	199	19q13.3-13.4	21429	IL-11Ra, CD130	9p13, 5q11
G-CSF	CSF-3	207	17q11.2-q12	21781	CD114	1p35-p34.3
IL-12	NK cell stimulatory factor	219/328	3p12-p13.2/	24844/37169	CD212	19p13.1, 1p31.2
LIF	leukemia inhibitory factor	202	22q12.1-q12.2	22008	LIFR, CD130	5p13-p12
OSM	oncostatin M	252	22q12.1-q12.2	28484	OSMR, CD130	5p15.2-5p12
IL-10	CSIF	178	1q31-q32	20517, homodimer	CDw210	11q23
IL-20	 	176	2q32.2	20437	IL-20Rα, β	?
IL-14	HMW-BCGF	498	1	54759	IL-14R	?
IL-16	LCF	631	15q24	66694, homotetramer	CD4	12pter-p12
IL-17	CTLA-8	155	2q31	17504, homodimer	CDw217	22q11.1
IFN-α	 	189	9p22	21781	CD118	21q22.11
IFN-β	 	187	9p21	22294	CD118	21q22.11
IFN-γ	 	166	12q14	19348, homodimer	CDw119	6q23-q24
CD154	CD40L, TRAP	261	Xq26	29273, homotrimer	CD40	20q12-q13.2
LT-β	 	244	6p21.3	25390, heterotrimer	LTβR	12p13
TNF-α	cachectin	233	6p21.3	25644, homotrimer	CD120a, b	12p13.2, 1p36.3-p36.2
TNF-β	LT-α	205	6p21.3	22297, heterotrimer	CD120a, b	12p13.2, 1p36.3-p36.2
4-1BBL	 	254	19p13.3	26624, trimer?	CDw137 (4-1BB)	1p36
APRIL	TALL-2	250	17p13.1	27433, trimer?	BCMA, TACI	16p13.1, 17p11.2
CD70	CD27L	193	19p13	21146, trimer?	CD27	12p13
CD153	CD30L	234	9q33	26017, trimer?	CD30	1p36
CD178	FasL	281	1q23	31485, trimer?	CD95 (Fas)	10q24.1
GITRL	 	177	1q23	20307, trimer?	GITR	1p36.3
LIGHT	 	240	16p11.2	26351, trimer?	LTbR, HVEM	12p13, 1p36.3-p36.2
OX40L	 	183	1q25	21050, trimer?	OX40	1p36
TALL-1	 	285	13q32-q34	31222, trimer?	BCMA, TACI	16p13.1, 17p11.2
TRAIL	Apo2L	281	3q26	32509, trimer?	TRAILR1-4	8p21
TWEAK	Apo3L	249	17p13.3	27216, trimer?	Apo3	1p36.2
TRANCE	OPGL	317	13q14	35478, trimer?	RANK, OPG	18q22.1, 8q24
TGF-β	TGF-β1	390	19q13.1	44341, homodimer	TGF-βR1	9q22
TGF-β2	 	414	1q41	47747, homodimer	TGF-βR2	3p22
TGF-β3	 	412	14q24	47328, homodimer	TGF-βR3	1p33-p32
